X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
510;547;0.3144454;0.5993638;0.3144454;0.5993638;432.2;0.1742205;False;11/23/2025 9:19:18 AM:539;1763860758539;;
540;574;0.3330173;0.6284121;0.4407167;0.8088296;431.3;0.1451772;True;11/23/2025 9:19:18 AM:563;1763860758563;;
555;577;0.3419547;0.6316428;0.4236666;0.6990998;430.6;0.1460078;True;11/23/2025 9:19:18 AM:584;1763860758584;;
556;576;0.3426036;0.6305746;0.3660114;0.5925356;430.7;0.164395;True;11/23/2025 9:19:18 AM:604;1763860758604;;
577;568;0.355745;0.6221853;0.4557936;0.5141977;431.3;0.1612203;True;11/23/2025 9:19:18 AM:625;1763860758625;;
593;562;0.3655618;0.6156592;0.455824;0.5141885;431.8;0.1612305;True;11/23/2025 9:19:18 AM:644;1763860758644;;
602;562;0.371142;0.6158119;0.4365531;0.6264349;430.8;0.1627912;True;11/23/2025 9:19:18 AM:667;1763860758667;;
612;562;0.3770107;0.6150668;0.444185;0.57976;431.9;0.1665658;True;11/23/2025 9:19:18 AM:690;1763860758690;;
621;561;0.3828583;0.6145077;0.4524757;0.5812113;432.8;0.166561;True;11/23/2025 9:19:18 AM:711;1763860758711;;
627;561;0.3864159;0.6139836;0.4441841;0.5797593;433.7;0.1665659;True;11/23/2025 9:19:18 AM:733;1763860758733;;
628;561;0.3871956;0.6139694;0.4195417;0.6008366;432.4;0.1632101;True;11/23/2025 9:19:18 AM:754;1763860758754;;
629;561;0.3878574;0.613951;0.4199062;0.6017884;432.6;0.1655901;True;11/23/2025 9:19:18 AM:773;1763860758773;;
630;561;0.3882649;0.61388;0.4161703;0.5944614;432.8;0.1655847;True;11/23/2025 9:19:18 AM:794;1763860758794;;
636;561;0.3919891;0.614286;0.4556651;0.6327788;434.1;0.1629505;True;11/23/2025 9:19:18 AM:814;1763860758814;;
636;560;0.392059;0.6131388;0.4069368;0.5659698;433.9;0.1702039;True;11/23/2025 9:19:18 AM:835;1763860758835;;
636;559;0.3921261;0.6120598;0.4069471;0.565943;433.6;0.1702028;True;11/23/2025 9:19:18 AM:857;1763860758857;;
696;559;0.4290116;0.6120549;0.5954874;0.5949847;432.4;0.1569215;True;11/23/2025 9:19:18 AM:879;1763860758879;;
776;557;0.4782646;0.6095693;0.6653545;0.5392294;430.2;0.1762469;False;11/23/2025 9:19:18 AM:897;1763860758897;;
833;555;0.5130281;0.6074695;0.6654084;0.5390932;428.3;0.1762632;False;11/23/2025 9:19:18 AM:917;1763860758917;;
893;553;0.5501781;0.6057905;0.6964125;0.5429991;424.2;0.1844839;False;11/23/2025 9:19:18 AM:937;1763860758937;;
939;553;0.5782667;0.6056437;0.7028705;0.5720607;424.8;0.1922649;False;11/23/2025 9:19:18 AM:958;1763860758958;;
970;552;0.5975174;0.6050317;0.7013042;0.5568858;425.2;0.1922917;False;11/23/2025 9:19:18 AM:975;1763860758975;;
1020;553;0.6284408;0.605599;0.754968;0.6236287;422.2;0.1964262;False;11/23/2025 9:19:18 AM:996;1763860758996;;
1057;553;0.6509916;0.6060881;0.7549811;0.6236072;419.5;0.1964377;False;11/23/2025 9:19:19 AM:17;1763860759017;;
1064;553;0.6556605;0.6060624;0.6930518;0.6039765;417.6;0.2096419;False;11/23/2025 9:19:19 AM:39;1763860759039;;
1081;553;0.6658411;0.6055847;0.7325671;0.56872;414.7;0.2202613;False;11/23/2025 9:19:19 AM:59;1763860759059;;
1094;553;0.6736971;0.6055576;0.733726;0.5841497;412.2;0.2203621;False;11/23/2025 9:19:19 AM:79;1763860759079;;
1101;552;0.6781792;0.6044349;0.7204137;0.5529466;410.0;0.2016558;False;11/23/2025 9:19:19 AM:100;1763860759100;;
1125;540;0.6927525;0.5914301;0.7799847;0.4477786;409.6;0.2053702;False;11/23/2025 9:19:19 AM:121;1763860759121;;
1142;531;0.7035275;0.5812345;0.780004;0.4477336;409.3;0.2053787;False;11/23/2025 9:19:19 AM:141;1763860759141;;
1156;523;0.7122961;0.5724759;0.780009;0.4477216;409.0;0.205381;False;11/23/2025 9:19:19 AM:162;1763860759162;;
