X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
729;385;0.4493239;0.4214846;0.4493239;0.4214846;563.2;0.224162;False;11/23/2025 9:13:35 AM:204;1763860415204;;
819;391;0.5044777;0.4283569;0.6481557;0.5044448;562.4;0.2159025;False;11/23/2025 9:13:35 AM:239;1763860415239;;
832;391;0.5125716;0.4283809;0.5785601;0.4397685;562.1;0.2348736;False;11/23/2025 9:13:35 AM:261;1763860415261;;
841;391;0.5182815;0.4285364;0.5741417;0.4478549;564.4;0.2138669;False;11/23/2025 9:13:35 AM:286;1763860415286;;
848;391;0.5227376;0.4286067;0.5757379;0.4448178;566.4;0.2139551;False;11/23/2025 9:13:35 AM:308;1763860415308;;
842;392;0.5185611;0.4297708;0.4628071;0.4736715;568.8;0.2202774;False;11/23/2025 9:13:35 AM:334;1763860415334;;
838;393;0.5162913;0.4304226;0.4697447;0.4688518;570.9;0.2203076;False;11/23/2025 9:13:35 AM:355;1763860415355;;
850;393;0.5239664;0.4300485;0.5927028;0.4142554;573.5;0.2130932;False;11/23/2025 9:13:35 AM:378;1763860415378;;
850;393;0.5235311;0.4300804;0.5016047;0.4353356;574.5;0.2320477;False;11/23/2025 9:13:35 AM:402;1763860415402;;
853;393;0.5257645;0.4301051;0.5611278;0.4381298;574.1;0.2154101;False;11/23/2025 9:13:35 AM:427;1763860415427;;
854;393;0.5263022;0.4301212;0.5443662;0.4390986;573.8;0.2155636;False;11/23/2025 9:13:35 AM:448;1763860415448;;
847;393;0.5220484;0.4301199;0.4656609;0.4299697;572.4;0.2202779;False;11/23/2025 9:13:35 AM:472;1763860415472;;
847;393;0.5216078;0.4301307;0.4997255;0.4380146;572.6;0.2159213;False;11/23/2025 9:13:35 AM:494;1763860415494;;
845;393;0.5207042;0.4301331;0.4900482;0.4397123;572.8;0.2159726;False;11/23/2025 9:13:35 AM:516;1763860415516;;
846;393;0.5210664;0.4301821;0.5330557;0.4440016;571.1;0.2401541;False;11/23/2025 9:13:35 AM:541;1763860415541;;
847;393;0.521757;0.4302009;0.5410779;0.4347996;574.2;0.2178551;False;11/23/2025 9:13:35 AM:564;1763860415564;;
846;393;0.5215335;0.4302112;0.5057163;0.4407214;572.7;0.2319407;False;11/23/2025 9:13:35 AM:585;1763860415585;;
848;393;0.5222735;0.4302227;0.5448694;0.4328265;571.3;0.2324356;False;11/23/2025 9:13:35 AM:604;1763860415604;;
