X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
459;404;0.2827238;0.4429329;0.2827238;0.4429329;382.6;0.1432604;True;11/21/2025 4:34:20 PM:843;1763714060843;;
508;404;0.3131653;0.4428366;0.4037917;0.4351452;385.7;0.1499279;True;11/21/2025 4:34:20 PM:900;1763714060900;;
528;410;0.3256766;0.4487999;0.3899588;0.5085024;390.0;0.1242272;True;11/21/2025 4:34:20 PM:954;1763714060954;;
529;410;0.3260326;0.448798;0.3429089;0.4486608;393.4;0.139113;True;11/21/2025 4:34:21 PM:6;1763714061006;;
528;410;0.3255422;0.448696;0.3158985;0.4429862;397.1;0.1393514;True;11/21/2025 4:34:21 PM:56;1763714061056;;
480;406;0.2955999;0.4444561;0.2020534;0.3932836;399.2;0.1380886;True;11/21/2025 4:34:21 PM:106;1763714061106;;
507;406;0.3123924;0.4446013;0.3939786;0.4526883;403.6;0.1429404;True;11/21/2025 4:34:21 PM:151;1763714061151;;
509;406;0.3136335;0.4445985;0.3419899;0.4423397;405.1;0.1562453;True;11/21/2025 4:34:21 PM:190;1763714061190;;
488;406;0.3009288;0.444567;0.232975;0.4377944;406.2;0.1538638;True;11/21/2025 4:34:21 PM:230;1763714061230;;
466;404;0.2870545;0.4431065;0.2122649;0.4057511;404.1;0.1476145;True;11/21/2025 4:34:21 PM:266;1763714061266;;
460;405;0.2836153;0.4431643;0.2446512;0.4470395;407.3;0.1473819;True;11/21/2025 4:34:21 PM:306;1763714061306;;
454;405;0.2799298;0.443122;0.2359064;0.4329821;407.7;0.1496689;True;11/21/2025 4:34:21 PM:343;1763714061343;;
447;404;0.2754216;0.442568;0.2230704;0.4155943;408.6;0.1563335;True;11/21/2025 4:34:21 PM:377;1763714061377;;
438;403;0.2698298;0.4411307;0.2070639;0.3965327;409.4;0.1562459;True;11/21/2025 4:34:21 PM:406;1763714061406;;
432;402;0.2666123;0.4407053;0.2194359;0.4130206;409.1;0.1462442;True;11/21/2025 4:34:21 PM:444;1763714061444;;
430;402;0.2652429;0.4406999;0.2269391;0.4243492;409.9;0.1543966;True;11/21/2025 4:34:21 PM:476;1763714061476;;
425;402;0.2622426;0.4402006;0.2101928;0.4080716;412.0;0.1456315;True;11/21/2025 4:34:21 PM:506;1763714061506;;
420;401;0.258914;0.439115;0.2032824;0.395538;413.4;0.1464944;True;11/21/2025 4:34:21 PM:538;1763714061538;;
439;405;0.2703771;0.4433616;0.3425982;0.5036869;413.9;0.1398382;True;11/21/2025 4:34:21 PM:565;1763714061565;;
729;406;0.4490904;0.445092;0.7270207;0.4856873;411.3;0.1450291;True;11/21/2025 4:34:21 PM:589;1763714061589;;
991;408;0.6103458;0.4468594;0.8364378;0.4901322;408.1;0.1535788;True;11/21/2025 4:34:21 PM:613;1763714061613;;
1139;408;0.7014354;0.4468292;0.8488058;0.438988;404.5;0.1504885;True;11/21/2025 4:34:21 PM:637;1763714061637;;
1226;408;0.7552937;0.4468034;0.8523303;0.4391211;401.4;0.1504767;True;11/21/2025 4:34:21 PM:661;1763714061661;;
1297;408;0.7987261;0.4466788;0.8775127;0.4323092;403.3;0.1473184;True;11/21/2025 4:34:21 PM:688;1763714061688;;
1311;410;0.8075038;0.4492033;0.8302109;0.5023072;402.9;0.1536606;True;11/21/2025 4:34:21 PM:712;1763714061712;;
1324;409;0.815391;0.4480782;0.8381638;0.4108948;404.5;0.1522336;True;11/21/2025 4:34:21 PM:737;1763714061737;;
1332;408;0.820269;0.4472123;0.8381615;0.4108912;405.9;0.1522378;True;11/21/2025 4:34:21 PM:759;1763714061759;;
1335;408;0.8222677;0.4470039;0.8301087;0.4271119;407.1;0.1610509;True;11/21/2025 4:34:21 PM:785;1763714061785;;
1332;408;0.8203191;0.4469105;0.8088986;0.4305326;408.1;0.1610375;True;11/21/2025 4:34:21 PM:808;1763714061808;;
1339;409;0.824866;0.4485226;0.8470107;0.4899752;407.8;0.1598415;True;11/21/2025 4:34:21 PM:830;1763714061830;;
1332;410;0.8207578;0.4487667;0.7571622;0.4642551;408.1;0.1536102;True;11/21/2025 4:34:21 PM:855;1763714061855;;
1328;410;0.8179736;0.4488587;0.74626;0.4589897;409.1;0.1573381;True;11/21/2025 4:34:21 PM:880;1763714061880;;
1324;410;0.8157294;0.4487787;0.7471;0.437932;409.9;0.1573678;True;11/21/2025 4:34:21 PM:901;1763714061901;;
1322;409;0.814639;0.4485599;0.8044339;0.4308055;409.9;0.1617305;True;11/21/2025 4:34:21 PM:925;1763714061925;;
1321;408;0.8136402;0.446874;0.8052593;0.4037583;410.4;0.1598441;True;11/21/2025 4:34:21 PM:956;1763714061956;;
1319;408;0.8122244;0.4468698;0.7747202;0.4387867;410.3;0.1527362;True;11/21/2025 4:34:21 PM:978;1763714061978;;
1322;408;0.8145956;0.4472755;0.8353622;0.4664444;408.5;0.1494654;True;11/21/2025 4:34:22 PM:3;1763714062003;;
1325;409;0.816415;0.4476108;0.83536;0.4664345;406.8;0.1494715;True;11/21/2025 4:34:22 PM:26;1763714062026;;
1324;409;0.8155132;0.4476096;0.7584183;0.4468166;407.6;0.1653401;True;11/21/2025 4:34:22 PM:50;1763714062050;;
1328;409;0.8181463;0.4479555;0.8437311;0.4677746;407.5;0.1518293;True;11/21/2025 4:34:22 PM:74;1763714062074;;
1331;409;0.8200629;0.4482242;0.8437278;0.4677752;407.4;0.1518291;True;11/21/2025 4:34:22 PM:96;1763714062096;;
1331;409;0.8199288;0.4485198;0.8166201;0.4692973;408.5;0.1549237;True;11/21/2025 4:34:22 PM:121;1763714062121;;
1326;410;0.8165982;0.4486006;0.7520221;0.4613613;407.4;0.1622703;True;11/21/2025 4:34:22 PM:145;1763714062145;;
1325;409;0.8162966;0.4484777;0.7967055;0.4384206;409.2;0.1519986;True;11/21/2025 4:34:22 PM:170;1763714062170;;
1325;409;0.8160536;0.4483784;0.7967022;0.4384222;410.7;0.1519928;True;11/21/2025 4:34:22 PM:192;1763714062192;;
1324;409;0.8158379;0.4479908;0.8069439;0.4261179;409.7;0.1565836;True;11/21/2025 4:34:22 PM:215;1763714062215;;
1324;409;0.8157202;0.4478893;0.8110266;0.4355433;408.8;0.1565749;True;11/21/2025 4:34:22 PM:237;1763714062237;;
1326;409;0.8167297;0.4479349;0.834924;0.4547434;408.8;0.1643207;True;11/21/2025 4:34:22 PM:261;1763714062261;;
1326;409;0.8169009;0.4478783;0.8222759;0.4388692;409.3;0.1613528;True;11/21/2025 4:34:22 PM:283;1763714062283;;
1325;408;0.8161107;0.4466918;0.7830916;0.4060151;409.5;0.1620889;True;11/21/2025 4:34:22 PM:307;1763714062307;;
1324;406;0.8152999;0.4452509;0.7806717;0.3980004;409.7;0.1620114;True;11/21/2025 4:34:22 PM:330;1763714062330;;
917;405;0.5648254;0.4440241;0.2416067;0.4002076;410.7;0.1625928;True;11/21/2025 4:34:22 PM:354;1763714062354;;
661;402;0.4075529;0.4408752;0.1906093;0.3717679;413.0;0.1709089;True;11/21/2025 4:34:22 PM:380;1763714062380;;
530;400;0.3264004;0.4383304;0.1899943;0.3710961;414.4;0.1644993;True;11/21/2025 4:34:22 PM:403;1763714062403;;
454;398;0.2797773;0.4355977;0.1852067;0.3620744;415.6;0.1645656;True;11/21/2025 4:34:22 PM:424;1763714062424;;
410;397;0.2526405;0.4344425;0.1961716;0.3818742;417.6;0.1654756;True;11/21/2025 4:34:22 PM:448;1763714062448;;
385;396;0.237207;0.4334677;0.197947;0.3811536;421.4;0.1669936;True;11/21/2025 4:34:22 PM:472;1763714062472;;
369;395;0.2276795;0.4326836;0.1979306;0.381135;425.0;0.1669831;True;11/21/2025 4:34:22 PM:494;1763714062494;;
368;395;0.2270897;0.4324985;0.2248788;0.4201008;425.9;0.1590256;True;11/21/2025 4:34:22 PM:518;1763714062518;;
369;395;0.2274489;0.4326556;0.4017327;0.4385572;426.2;0.1655512;True;11/21/2025 4:34:22 PM:542;1763714062542;;
369;395;0.2277676;0.4325805;0.2291588;0.4277034;426.4;0.1590245;True;11/21/2025 4:34:22 PM:566;1763714062566;;
369;395;0.2277806;0.432497;0.2278512;0.423871;426.6;0.1589955;True;11/21/2025 4:34:22 PM:587;1763714062587;;
375;395;0.2312693;0.4324795;0.2565075;0.4313003;428.6;0.1635328;True;11/21/2025 4:34:22 PM:612;1763714062612;;
