X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
634;462;0.3906646;0.5059419;0.3906646;0.5059419;473.1;0.225377;False;11/21/2025 4:23:03 PM:373;1763713383373;;
637;462;0.3927241;0.5061299;0.4343863;0.523148;475.1;0.2053726;False;11/21/2025 4:23:03 PM:392;1763713383392;;
632;462;0.3897512;0.5061298;0.3428029;0.5060745;477.0;0.2130952;False;11/21/2025 4:23:03 PM:414;1763713383414;;
623;461;0.3842182;0.5053921;0.3210364;0.4745973;478.1;0.2232408;False;11/21/2025 4:23:03 PM:437;1763713383437;;
624;461;0.3846931;0.5054046;0.4022678;0.5087002;478.2;0.210619;False;11/21/2025 4:23:03 PM:459;1763713383459;;
625;461;0.3850757;0.5054145;0.4025369;0.5086837;478.3;0.2110068;False;11/21/2025 4:23:03 PM:479;1763713383479;;
588;459;0.3621528;0.5030563;0.2317953;0.4433961;481.4;0.2126269;False;11/21/2025 4:23:03 PM:499;1763713383499;;
572;459;0.3523232;0.502925;0.2647001;0.4855505;486.8;0.2310597;False;11/21/2025 4:23:03 PM:519;1763713383519;;
559;459;0.3447847;0.5028188;0.2649491;0.4858046;491.6;0.2320624;False;11/21/2025 4:23:03 PM:536;1763713383536;;
550;459;0.3388317;0.5027278;0.2649022;0.4857567;495.9;0.2318726;False;11/21/2025 4:23:03 PM:552;1763713383552;;
548;459;0.3377536;0.5025133;0.3082123;0.4798872;497.8;0.2057065;False;11/21/2025 4:23:03 PM:572;1763713383572;;
547;459;0.3368816;0.5023367;0.3081419;0.4798907;499.5;0.2056081;False;11/21/2025 4:23:03 PM:591;1763713383591;;
547;459;0.3368844;0.5027537;0.3375254;0.5239003;500.8;0.2194487;False;11/21/2025 4:23:03 PM:610;1763713383610;;
562;459;0.3464715;0.5027934;0.4384138;0.5080907;502.1;0.2320171;False;11/21/2025 4:23:03 PM:627;1763713383627;;
564;459;0.3477234;0.5027888;0.3824065;0.4977497;503.2;0.2328738;False;11/21/2025 4:23:03 PM:643;1763713383643;;
564;458;0.3476667;0.5021249;0.3404121;0.4655722;502.8;0.2293939;False;11/21/2025 4:23:03 PM:662;1763713383662;;
564;458;0.3476109;0.5018285;0.3399845;0.4745338;502.5;0.2298882;False;11/21/2025 4:23:03 PM:679;1763713383679;;
566;458;0.3489164;0.5017763;0.3823598;0.4860708;503.7;0.2181832;False;11/21/2025 4:23:03 PM:698;1763713383698;;
568;458;0.3500107;0.501806;0.3821588;0.5052096;504.9;0.2187783;False;11/21/2025 4:23:03 PM:716;1763713383716;;
569;458;0.3505344;0.5018016;0.374029;0.4929035;507.8;0.2367392;False;11/21/2025 4:23:03 PM:735;1763713383735;;
575;457;0.3545981;0.500962;0.4181015;0.4583326;511.2;0.224396;False;11/21/2025 4:23:03 PM:752;1763713383752;;
596;457;0.3671826;0.5009348;0.4793156;0.4857858;514.2;0.2252712;False;11/21/2025 4:23:03 PM:768;1763713383768;;
595;457;0.3664505;0.5007032;0.3437099;0.4745322;514.8;0.2203095;False;11/21/2025 4:23:03 PM:788;1763713383788;;
594;457;0.3658853;0.5005201;0.3437657;0.4745298;515.4;0.2203931;False;11/21/2025 4:23:03 PM:805;1763713383805;;
574;457;0.3537545;0.5003566;0.2536775;0.475259;514.8;0.2265558;False;11/21/2025 4:23:03 PM:824;1763713383824;;
553;456;0.3407532;0.4990639;0.2341693;0.4437184;514.3;0.2269361;False;11/21/2025 4:23:03 PM:842;1763713383842;;
547;456;0.3369598;0.4990268;0.2785486;0.4854157;513.8;0.2218529;False;11/21/2025 4:23:03 PM:859;1763713383859;;
541;456;0.3335886;0.4991214;0.2765672;0.5060182;513.4;0.2229319;False;11/21/2025 4:23:03 PM:876;1763713383876;;
533;456;0.3286288;0.4991054;0.2594083;0.4820966;513.9;0.2266274;False;11/21/2025 4:23:03 PM:893;1763713383893;;
527;456;0.3247034;0.499091;0.2622662;0.4850431;514.4;0.227437;False;11/21/2025 4:23:03 PM:910;1763713383910;;
522;455;0.3219231;0.4987718;0.269307;0.4671669;515.8;0.2383263;False;11/21/2025 4:23:03 PM:928;1763713383928;;
519;455;0.3198383;0.4985214;0.2696391;0.4671917;517.1;0.238932;False;11/21/2025 4:23:03 PM:946;1763713383946;;
519;455;0.3198135;0.4985259;0.3072218;0.4989229;517.6;0.2405659;False;11/21/2025 4:23:03 PM:965;1763713383965;;
519;455;0.3197953;0.4985294;0.307333;0.4989142;518.1;0.2407592;False;11/21/2025 4:23:03 PM:981;1763713383981;;
515;454;0.3171653;0.4977203;0.2638569;0.4541782;519.1;0.2362304;False;11/21/2025 4:23:04 PM:0;1763713384000;;
511;454;0.3149385;0.4970161;0.2638742;0.4541793;520.0;0.2362614;False;11/21/2025 4:23:04 PM:19;1763713384019;;
515;453;0.3177097;0.4966279;0.3609998;0.4600168;519.7;0.2342236;False;11/21/2025 4:23:04 PM:38;1763713384038;;
517;453;0.3184623;0.4965834;0.3407468;0.472851;519.4;0.2354463;False;11/21/2025 4:23:04 PM:54;1763713384054;;
522;453;0.3216557;0.4967065;0.3706715;0.5040039;517.6;0.225088;False;11/21/2025 4:23:04 PM:73;1763713384073;;
529;453;0.3261358;0.4961687;0.3866151;0.4560241;516.7;0.2206557;False;11/21/2025 4:23:04 PM:90;1763713384090;;
529;452;0.3262311;0.4954704;0.3344217;0.4492984;515.9;0.2211777;False;11/21/2025 4:23:04 PM:108;1763713384108;;
529;452;0.3262754;0.4954216;0.3316622;0.4706186;517.0;0.2440931;False;11/21/2025 4:23:04 PM:126;1763713384126;;
