X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
962;387;0.5925208;0.4241981;0.5925208;0.4241981;663.2;0.1653609;True;11/21/2025 5:48:17 PM:365;1763718497365;;
965;399;0.5942162;0.4376217;0.6225467;0.5406302;661.0;0.1558603;True;11/21/2025 5:48:17 PM:402;1763718497402;;
966;400;0.5954365;0.4380529;0.626648;0.4663299;663.9;0.1611707;True;11/21/2025 5:48:17 PM:426;1763718497426;;
966;400;0.5953407;0.4380866;0.5893092;0.4526393;664.7;0.1627423;True;11/21/2025 5:48:17 PM:448;1763718497448;;
954;401;0.5877985;0.4389367;0.5127065;0.4810788;662.6;0.1667063;True;11/21/2025 5:48:17 PM:468;1763718497468;;
953;402;0.5868784;0.4403412;0.5610168;0.4929862;660.8;0.1666884;True;11/21/2025 5:48:17 PM:488;1763718497488;;
951;402;0.5857063;0.4403479;0.5544409;0.458358;658.9;0.1657284;True;11/21/2025 5:48:17 PM:509;1763718497509;;
931;402;0.5735342;0.4407129;0.4751031;0.4746239;653.1;0.1539058;True;11/21/2025 5:48:17 PM:529;1763718497529;;
916;403;0.5640737;0.4410238;0.4750663;0.474614;647.9;0.1538814;True;11/21/2025 5:48:17 PM:549;1763718497549;;
883;403;0.5439403;0.4410297;0.4201464;0.4611994;645.9;0.1534685;True;11/21/2025 5:48:17 PM:569;1763718497569;;
855;403;0.5267838;0.4410684;0.4085714;0.4577257;644.2;0.1533875;True;11/21/2025 5:48:17 PM:587;1763718497587;;
825;403;0.508319;0.4409236;0.4010892;0.4338333;645.6;0.1556236;True;11/21/2025 5:48:17 PM:611;1763718497611;;
804;402;0.4953481;0.4408096;0.4011111;0.4338344;646.9;0.1556389;True;11/21/2025 5:48:17 PM:632;1763718497632;;
798;402;0.4919792;0.4408892;0.4457714;0.4600613;647.5;0.1577927;True;11/21/2025 5:48:17 PM:656;1763718497656;;
787;403;0.4846633;0.4410346;0.4125087;0.4641353;645.5;0.1593221;True;11/21/2025 5:48:17 PM:678;1763718497678;;
778;403;0.4791183;0.4411535;0.4124613;0.4641345;643.7;0.1592913;True;11/21/2025 5:48:17 PM:699;1763718497699;;
773;403;0.4760212;0.4411962;0.4246778;0.4477698;642.1;0.1504945;True;11/21/2025 5:48:17 PM:720;1763718497720;;
769;404;0.47366;0.4426031;0.4270152;0.4957156;640.0;0.1581295;True;11/21/2025 5:48:17 PM:741;1763718497741;;
765;405;0.4716108;0.4438475;0.4269653;0.4957136;638.1;0.1580968;True;11/21/2025 5:48:17 PM:762;1763718497762;;
763;405;0.4703421;0.4437348;0.4341459;0.4382029;638.2;0.1500667;True;11/21/2025 5:48:17 PM:787;1763718497787;;
764;405;0.4704506;0.4437535;0.4751924;0.4599912;638.3;0.1501108;True;11/21/2025 5:48:17 PM:808;1763718497808;;
763;405;0.4704227;0.4437583;0.4617143;0.4610309;638.4;0.1499649;True;11/21/2025 5:48:17 PM:828;1763718497828;;
761;405;0.4686602;0.4438143;0.4269841;0.451445;637.4;0.1469717;True;11/21/2025 5:48:17 PM:852;1763718497852;;
758;405;0.4670264;0.4438208;0.4245082;0.4444072;638.2;0.1507795;True;11/21/2025 5:48:17 PM:874;1763718497874;;
758;405;0.4669617;0.4438544;0.4613656;0.4508598;638.6;0.1597055;True;11/21/2025 5:48:17 PM:893;1763718497893;;
758;405;0.4669234;0.4438797;0.4553904;0.4530431;638.9;0.1596226;True;11/21/2025 5:48:17 PM:913;1763718497913;;
786;406;0.4840549;0.4452861;0.5915835;0.4979636;638.3;0.1526936;True;11/21/2025 5:48:17 PM:933;1763718497933;;
807;408;0.4969786;0.4464662;0.5915441;0.497961;637.8;0.1526672;True;11/21/2025 5:48:17 PM:953;1763718497953;;
825;409;0.5083455;0.4484173;0.587338;0.5079563;640.4;0.1540536;True;11/21/2025 5:48:17 PM:977;1763718497977;;
840;411;0.517553;0.4499941;0.5954326;0.5101475;641.3;0.1187521;True;11/21/2025 5:48:17 PM:999;1763718497999;;
851;412;0.5242744;0.4512286;0.5954112;0.510137;642.0;0.1187506;True;11/21/2025 5:48:18 PM:17;1763718498017;;
856;413;0.5274276;0.4523989;0.5736316;0.5094941;643.6;0.1308804;True;11/21/2025 5:48:18 PM:37;1763718498037;;
860;414;0.5296506;0.4533706;0.5713033;0.5100306;645.1;0.1308559;True;11/21/2025 5:48:18 PM:57;1763718498057;;
879;415;0.5413598;0.4546339;0.6288173;0.5139325;649.3;0.1485531;True;11/21/2025 5:48:18 PM:81;1763718498081;;
921;416;0.5673297;0.4553528;0.7004566;0.5087396;648.2;0.1540701;True;11/21/2025 5:48:18 PM:103;1763718498103;;
943;416;0.5811235;0.4557951;0.6800507;0.5051931;647.2;0.1540434;True;11/21/2025 5:48:18 PM:124;1763718498124;;
960;416;0.5914848;0.4561684;0.6746853;0.5042286;647.0;0.1540051;True;11/21/2025 5:48:18 PM:146;1763718498146;;
985;416;0.6066687;0.4559376;0.7005871;0.4495516;644.6;0.1617314;True;11/21/2025 5:48:18 PM:171;1763718498171;;
1000;416;0.6159518;0.4561203;0.6943773;0.4690202;642.5;0.1617501;True;11/21/2025 5:48:18 PM:194;1763718498194;;
1000;417;0.6163042;0.4566914;0.6318986;0.5030949;643.0;0.1577326;True;11/21/2025 5:48:18 PM:217;1763718498217;;
1005;417;0.6189958;0.456942;0.6633306;0.4965813;642.3;0.1633886;True;11/21/2025 5:48:18 PM:240;1763718498240;;
1008;417;0.6211361;0.4571506;0.6633402;0.4965758;641.7;0.1633706;True;11/21/2025 5:48:18 PM:262;1763718498262;;
1014;417;0.6246804;0.4571603;0.6780005;0.4902255;640.1;0.1618076;True;11/21/2025 5:48:18 PM:285;1763718498285;;
1019;417;0.6277426;0.4572463;0.680189;0.4860076;636.2;0.1547215;True;11/21/2025 5:48:18 PM:307;1763718498307;;
1024;416;0.6308502;0.4552587;0.6855849;0.4161249;635.5;0.162654;True;11/21/2025 5:48:18 PM:329;1763718498329;;
1028;414;0.6334974;0.4535578;0.685612;0.4161124;634.9;0.1626599;True;11/21/2025 5:48:18 PM:351;1763718498351;;
1028;415;0.6335847;0.4546686;0.6421685;0.5036635;633.9;0.1661946;True;11/21/2025 5:48:18 PM:375;1763718498375;;
1029;416;0.6338402;0.4555535;0.658064;0.5046956;632.7;0.1669943;True;11/21/2025 5:48:18 PM:394;1763718498394;;
1038;417;0.6392484;0.4565438;0.7133824;0.5089471;631.6;0.1668926;True;11/21/2025 5:48:18 PM:414;1763718498414;;
