X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
835;296;0.5142751;0.3245913;0.5142751;0.3245913;376.8;0.2175555;False;11/23/2025 9:27:59 AM:842;1763861279842;;
816;329;0.5028345;0.3609325;0.4101053;0.5769938;376.2;0.2048584;False;11/23/2025 9:27:59 AM:863;1763861279863;;
720;330;0.4439484;0.3615392;0.2463926;0.388276;376.5;0.2028082;False;11/23/2025 9:27:59 AM:884;1763861279884;;
635;326;0.3912297;0.3568825;0.21925;0.2746533;376.3;0.2082563;False;11/23/2025 9:27:59 AM:905;1763861279905;;
576;322;0.3547091;0.352981;0.2192481;0.2746609;376.2;0.2082466;False;11/23/2025 9:27:59 AM:926;1763861279926;;
557;332;0.3435923;0.3637069;0.2735564;0.483064;376.6;0.222496;False;11/23/2025 9:27:59 AM:945;1763861279945;;
524;325;0.3228098;0.3566682;0.2234387;0.2528105;376.6;0.2017037;False;11/23/2025 9:27:59 AM:966;1763861279966;;
500;320;0.3081972;0.3511723;0.2234385;0.2528121;376.5;0.2017051;False;11/23/2025 9:27:59 AM:986;1763861279986;;
470;323;0.2894208;0.35414;0.1949307;0.4114341;377.5;0.2148969;False;11/23/2025 9:28:00 AM:6;1763861280006;;
445;326;0.2741065;0.3568912;0.1949294;0.4114407;378.3;0.2148901;False;11/23/2025 9:28:00 AM:29;1763861280029;;
433;325;0.2669258;0.3561388;0.2105386;0.3189626;377.5;0.2079166;False;11/23/2025 9:28:00 AM:48;1763861280048;;
424;324;0.261326;0.3554941;0.2105594;0.3188663;376.8;0.2079643;False;11/23/2025 9:28:00 AM:68;1763861280068;;
424;332;0.2614287;0.3641597;0.2634662;0.4634184;378.1;0.2138469;False;11/23/2025 9:28:00 AM:91;1763861280091;;
490;353;0.3019788;0.3866366;0.4850934;0.5578282;376.4;0.2139822;False;11/23/2025 9:28:00 AM:112;1763861280112;;
547;360;0.3368295;0.3945113;0.5014089;0.4985465;374.9;0.2140109;False;11/23/2025 9:28:00 AM:132;1763861280132;;
571;392;0.3519575;0.4293389;0.4566666;0.6372492;374.2;0.2142066;False;11/23/2025 9:28:00 AM:154;1763861280154;;
579;399;0.3568266;0.4367435;0.4191015;0.5359709;372.7;0.2118763;False;11/23/2025 9:28:00 AM:175;1763861280175;;
583;399;0.3595299;0.437498;0.4100778;0.4726327;371.3;0.2119063;False;11/23/2025 9:28:00 AM:194;1763861280194;;
591;400;0.3644226;0.4377675;0.4288355;0.4595361;372.2;0.2240673;False;11/23/2025 9:28:00 AM:216;1763861280216;;
631;399;0.388661;0.4371056;0.5274408;0.4081981;372.1;0.2142102;False;11/23/2025 9:28:00 AM:236;1763861280236;;
662;399;0.4079931;0.4367757;0.5346395;0.4148499;372.0;0.2142746;False;11/23/2025 9:28:00 AM:253;1763861280253;;
657;399;0.4046864;0.4367313;0.3548585;0.4292545;371.7;0.2043729;False;11/23/2025 9:28:00 AM:277;1763861280277;;
648;399;0.3991286;0.436719;0.3294576;0.4321746;371.5;0.2044121;False;11/23/2025 9:28:00 AM:297;1763861280297;;
