X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
806;634;0.4968876;0.6943856;0.4968876;0.6943856;422.4;0.2229013;False;11/23/2025 9:17:22 AM:634;1763860642634;;
809;640;0.4985546;0.7007724;0.5360054;0.7975401;421.2;0.217654;False;11/23/2025 9:17:22 AM:655;1763860642655;;
829;645;0.511047;0.7061613;0.608307;0.7952973;420.2;0.2197926;False;11/23/2025 9:17:22 AM:676;1763860642676;;
819;645;0.5045687;0.7061622;0.4381966;0.7062809;420.9;0.2138891;False;11/23/2025 9:17:22 AM:699;1763860642699;;
816;646;0.502804;0.7069486;0.4673123;0.7434328;421.6;0.2140549;False;11/23/2025 9:17:22 AM:723;1763860642723;;
808;646;0.4979138;0.7069212;0.4370956;0.704339;421.7;0.2165397;False;11/23/2025 9:17:22 AM:746;1763860642746;;
832;648;0.512382;0.709146;0.6079449;0.7682568;420.6;0.2182741;False;11/23/2025 9:17:22 AM:769;1763860642769;;
845;651;0.5207434;0.7123075;0.5979828;0.7870273;420.3;0.2080488;False;11/23/2025 9:17:22 AM:791;1763860642791;;
852;653;0.5246375;0.7150072;0.5794533;0.7883242;420.1;0.2083249;False;11/23/2025 9:17:22 AM:810;1763860642810;;
857;655;0.5282174;0.7176018;0.5791558;0.788368;419.9;0.2082348;False;11/23/2025 9:17:22 AM:833;1763860642833;;
886;655;0.5460054;0.7177016;0.6597599;0.725861;417.7;0.1993126;False;11/23/2025 9:17:22 AM:854;1763860642854;;
887;656;0.5466387;0.7182366;0.5694718;0.7603998;417.4;0.2063702;False;11/23/2025 9:17:22 AM:875;1763860642875;;
887;656;0.5466956;0.7185193;0.5547096;0.7551321;417.1;0.2065328;False;11/23/2025 9:17:22 AM:895;1763860642895;;
899;656;0.5539671;0.7185654;0.628463;0.7471392;418.5;0.2114955;False;11/23/2025 9:17:22 AM:918;1763860642918;;
899;659;0.5541037;0.721181;0.5674537;0.796516;420.3;0.2002266;False;11/23/2025 9:17:22 AM:939;1763860642939;;
899;660;0.5537239;0.722605;0.5384349;0.7859737;421.9;0.2003692;False;11/23/2025 9:17:22 AM:958;1763860642958;;
860;656;0.5300918;0.7184476;0.4012099;0.6553918;421.4;0.2111094;False;11/23/2025 9:17:22 AM:979;1763860642979;;
844;656;0.5202407;0.718305;0.4381403;0.7116565;420.9;0.2023301;False;11/23/2025 9:17:23 AM:0;1763860643000;;
837;656;0.5156128;0.7183484;0.4574504;0.7364164;420.4;0.2023849;False;11/23/2025 9:17:23 AM:20;1763860643020;;
835;657;0.5141838;0.7190034;0.4826691;0.7618886;423.1;0.1988647;False;11/23/2025 9:17:23 AM:41;1763860643041;;
830;657;0.5115449;0.719018;0.4669896;0.7429536;423.9;0.2138627;False;11/23/2025 9:17:23 AM:63;1763860643063;;
827;657;0.5095433;0.7190315;0.4670787;0.7430483;424.7;0.21394;False;11/23/2025 9:17:23 AM:82;1763860643082;;
831;658;0.5118621;0.7206999;0.5518212;0.7814454;422.5;0.2132378;False;11/23/2025 9:17:23 AM:104;1763860643104;;
944;657;0.581755;0.7197996;0.7861218;0.6951444;423.0;0.2303086;False;11/23/2025 9:17:23 AM:126;1763860643126;;
1015;657;0.6255699;0.7190977;0.7862747;0.695035;423.6;0.2301681;False;11/23/2025 9:17:23 AM:146;1763860643146;;
1020;657;0.6281222;0.7196152;0.6533708;0.7561045;423.2;0.2166194;False;11/23/2025 9:17:23 AM:168;1763860643168;;
1039;655;0.6398013;0.7176385;0.7152883;0.6718352;422.3;0.2251741;False;11/23/2025 9:17:23 AM:188;1763860643188;;
1051;653;0.6474224;0.7147323;0.7077989;0.6547489;421.5;0.2253244;False;11/23/2025 9:17:23 AM:208;1763860643208;;
1112;642;0.6852976;0.7025557;0.8300467;0.5768068;418.1;0.2403804;False;11/23/2025 9:17:23 AM:228;1763860643228;;
1154;633;0.7108459;0.6933143;0.8301657;0.5767123;415.0;0.2405654;False;11/23/2025 9:17:23 AM:248;1763860643248;;
1144;634;0.7044805;0.694232;0.6048787;0.7287538;415.9;0.2233195;False;11/23/2025 9:17:23 AM:270;1763860643270;;
1135;635;0.6992904;0.6950049;0.6048311;0.7287942;416.7;0.2232788;False;11/23/2025 9:17:23 AM:293;1763860643293;;
1141;636;0.702814;0.6960579;0.7352208;0.7378519;416.1;0.2335668;False;11/23/2025 9:17:23 AM:313;1763860643313;;
1141;632;0.7031727;0.6921986;0.7082861;0.6254459;416.8;0.2225312;False;11/23/2025 9:17:23 AM:337;1763860643337;;
1141;630;0.7029312;0.6893024;0.6972564;0.6257341;417.3;0.2224707;False;11/23/2025 9:17:23 AM:357;1763860643357;;
1096;630;0.6752169;0.6897374;0.5212371;0.7130306;417.6;0.2406216;False;11/23/2025 9:17:23 AM:380;1763860643380;;
1096;631;0.6751251;0.6903839;0.6451739;0.7208101;417.1;0.2405561;False;11/23/2025 9:17:23 AM:401;1763860643401;;
1096;631;0.6750494;0.6909131;0.6452024;0.7207764;416.5;0.2406144;False;11/23/2025 9:17:23 AM:422;1763860643422;;
1128;629;0.6950763;0.6887236;0.7962723;0.6384519;416.4;0.248042;False;11/23/2025 9:17:23 AM:445;1763860643445;;
1150;629;0.7084904;0.689079;0.7971986;0.7123572;415.8;0.2318892;False;11/23/2025 9:17:23 AM:465;1763860643465;;
1163;630;0.7165035;0.6893112;0.7867135;0.7099866;415.2;0.2321051;False;11/23/2025 9:17:23 AM:484;1763860643484;;
1213;630;0.7469756;0.6893167;0.8807356;0.6948985;416.1;0.2389342;False;11/23/2025 9:17:23 AM:505;1763860643505;;
1346;617;0.8288652;0.6759706;1.037873;0.5448218;416.3;0.2480407;False;11/23/2025 9:17:23 AM:526;1763860643526;;
1429;608;0.8805393;0.665659;1.03792;0.5447795;416.4;0.2481064;False;11/23/2025 9:17:23 AM:547;1763860643547;;
1441;605;0.8875833;0.661939;0.923916;0.5929286;417.5;0.2452745;False;11/23/2025 9:17:23 AM:573;1763860643573;;
1453;605;0.8951341;0.6627488;0.9416673;0.6925858;417.8;0.2409463;False;11/23/2025 9:17:23 AM:593;1763860643593;;
1472;605;0.9067219;0.6628314;0.9757267;0.6717224;418.0;0.2414836;False;11/23/2025 9:17:23 AM:612;1763860643612;;
1496;605;0.9213681;0.6628255;0.99246;0.6570193;417.4;0.2465242;False;11/23/2025 9:17:23 AM:635;1763860643635;;
1494;605;0.9202273;0.6622721;0.8998459;0.6326537;416.1;0.2504766;False;11/23/2025 9:17:23 AM:659;1763860643659;;
1493;605;0.9193755;0.6622651;0.8987004;0.6565718;414.8;0.2506723;False;11/23/2025 9:17:23 AM:679;1763860643679;;
1502;604;0.9250132;0.661616;0.9688017;0.6279281;414.9;0.2480515;False;11/23/2025 9:17:23 AM:701;1763860643701;;
1508;604;0.9291474;0.6610982;0.9687879;0.6279421;415.0;0.2479754;False;11/23/2025 9:17:23 AM:721;1763860643721;;
1508;605;0.9286519;0.6620039;0.8806196;0.6925786;414.7;0.2497057;False;11/23/2025 9:17:23 AM:742;1763860643742;;
1509;600;0.929556;0.6572785;0.9435977;0.5706325;414.7;0.2531156;False;11/23/2025 9:17:23 AM:763;1763860643763;;
1510;598;0.9300177;0.6545446;0.9392738;0.5833196;414.6;0.253186;False;11/23/2025 9:17:23 AM:783;1763860643783;;
1523;590;0.9381489;0.6455342;1.002109;0.5279386;414.6;0.2456308;False;11/23/2025 9:17:23 AM:804;1763860643804;;
1523;589;0.9378507;0.6445137;0.9044576;0.5947899;416.2;0.2632276;False;11/23/2025 9:17:23 AM:825;1763860643825;;
1522;588;0.9375997;0.6443424;0.9042886;0.6127773;417.6;0.2633633;False;11/23/2025 9:17:23 AM:845;1763860643845;;
1522;588;0.9374738;0.6443171;0.9150018;0.6217761;414.7;0.2447124;False;11/23/2025 9:17:23 AM:865;1763860643865;;
1522;587;0.9373413;0.6422862;0.9326063;0.5770057;412.2;0.2448045;False;11/23/2025 9:17:23 AM:887;1763860643887;;
1548;586;0.9534919;0.6421569;1.049676;0.6094701;410.6;0.2483277;False;11/23/2025 9:17:23 AM:909;1763860643909;;
1548;584;0.9533754;0.6395674;0.9475105;0.5616462;410.1;0.2478265;False;11/23/2025 9:17:23 AM:929;1763860643929;;
1548;582;0.9532724;0.637306;0.9474987;0.5615924;409.6;0.2478777;False;11/23/2025 9:17:23 AM:949;1763860643949;;
1554;578;0.9574761;0.6324342;1.001053;0.5387592;410.0;0.2395124;False;11/23/2025 9:17:23 AM:974;1763860643974;;
1565;576;0.9637059;0.6312167;1.027071;0.5660833;410.2;0.2315204;False;11/23/2025 9:17:23 AM:995;1763860643995;;
1582;574;0.974749;0.6281355;1.064109;0.5370202;410.5;0.2317377;False;11/23/2025 9:17:24 AM:14;1763860644014;;
1585;573;0.975997;0.6279076;1.003366;0.5957724;409.5;0.2394245;False;11/23/2025 9:17:24 AM:36;1763860644036;;
1611;569;0.9921008;0.6233279;1.099762;0.5186797;409.3;0.2433715;False;11/23/2025 9:17:24 AM:56;1763860644056;;
1635;566;1.006793;0.619899;1.108723;0.5239552;409.1;0.2434767;False;11/23/2025 9:17:24 AM:75;1763860644075;Offscreen;
1651;563;1.016708;0.6164113;1.099779;0.51867;408.9;0.2434006;False;11/23/2025 9:17:24 AM:97;1763860644097;Offscreen;
1647;562;1.014518;0.6152074;0.9698911;0.5427437;407.3;0.2363146;False;11/23/2025 9:17:24 AM:118;1763860644118;Offscreen;
1630;561;1.004099;0.614719;0.9078016;0.5514814;407.3;0.232557;False;11/23/2025 9:17:24 AM:138;1763860644138;Offscreen;
1623;558;0.9999061;0.6113669;0.936264;0.5104785;407.3;0.2326432;False;11/23/2025 9:17:24 AM:158;1763860644158;;
1104;553;0.6798761;0.6052323;0.2878588;0.4812969;408.7;0.2240146;False;11/23/2025 9:17:24 AM:179;1763860644179;;
816;543;0.5027537;0.5949672;0.2616744;0.4427358;410.8;0.2240143;False;11/23/2025 9:17:24 AM:198;1763860644198;;
656;535;0.404495;0.5859262;0.2616922;0.4427602;412.7;0.2240924;False;11/23/2025 9:17:24 AM:219;1763860644219;;
556;525;0.3424322;0.5745113;0.2405509;0.4151377;415.7;0.2226551;False;11/23/2025 9:17:24 AM:239;1763860644239;;
504;517;0.3104835;0.5667152;0.2522008;0.4291203;417.6;0.2366988;False;11/23/2025 9:17:24 AM:261;1763860644261;;
475;512;0.2927866;0.5607799;0.252208;0.4291304;419.4;0.2367245;False;11/23/2025 9:17:24 AM:280;1763860644280;;
456;507;0.2811273;0.5554307;0.2535352;0.4306318;421.1;0.2204261;False;11/23/2025 9:17:24 AM:301;1763860644301;;
426;496;0.2624596;0.5436006;0.2188747;0.3813632;421.6;0.2355841;False;11/23/2025 9:17:24 AM:322;1763860644322;;
407;488;0.2511787;0.5344946;0.2188744;0.381362;422.0;0.2356149;False;11/23/2025 9:17:24 AM:342;1763860644342;;
399;483;0.2459608;0.5285962;0.2298691;0.3988612;424.4;0.2358955;False;11/23/2025 9:17:24 AM:364;1763860644364;;
411;482;0.2533087;0.5277702;0.2888065;0.4864397;424.9;0.2276009;False;11/23/2025 9:17:24 AM:384;1763860644384;;
411;480;0.2533927;0.5261945;0.2537908;0.4333838;425.2;0.2277264;False;11/23/2025 9:17:24 AM:404;1763860644404;;
406;477;0.2504414;0.5220741;0.2372649;0.4056133;425.9;0.2222821;False;11/23/2025 9:17:24 AM:426;1763860644426;;
401;473;0.2473651;0.5176581;0.2313843;0.3951839;426.4;0.222336;False;11/23/2025 9:17:24 AM:446;1763860644446;;
390;466;0.2403592;0.5101246;0.2066801;0.3667367;428.5;0.2272557;False;11/23/2025 9:17:24 AM:466;1763860644466;;
382;460;0.2355625;0.5041335;0.2106104;0.3726624;430.3;0.2254117;False;11/23/2025 9:17:24 AM:489;1763860644489;;
376;455;0.2316473;0.4987017;0.2087437;0.3697002;432.0;0.2253098;False;11/23/2025 9:17:24 AM:512;1763860644512;;
372;452;0.229566;0.4948312;0.2149827;0.3759977;429.4;0.2288425;False;11/23/2025 9:17:24 AM:535;1763860644535;;
372;450;0.2292774;0.4933552;0.2263037;0.3923384;427.1;0.2290797;False;11/23/2025 9:17:24 AM:555;1763860644555;;
373;450;0.2296987;0.4929709;0.2350419;0.4059234;428.4;0.2318994;False;11/23/2025 9:17:24 AM:576;1763860644576;;
374;449;0.2305288;0.4921999;0.2805194;0.4743319;428.3;0.2259057;False;11/23/2025 9:17:24 AM:598;1763860644598;;
375;449;0.2312026;0.4915875;0.2805632;0.4743944;428.2;0.2259711;False;11/23/2025 9:17:24 AM:618;1763860644618;;
372;445;0.2295276;0.4872339;0.2126343;0.3722076;428.6;0.2294547;False;11/23/2025 9:17:24 AM:639;1763860644639;;
367;439;0.2263913;0.4808739;0.1962751;0.3488714;429.0;0.23834;False;11/23/2025 9:17:24 AM:662;1763860644662;;
363;434;0.2239578;0.4757175;0.1968175;0.3500142;429.4;0.2383893;False;11/23/2025 9:17:24 AM:683;1763860644683;;
364;434;0.2243856;0.4752121;0.238206;0.4147131;429.0;0.2265073;False;11/23/2025 9:17:24 AM:706;1763860644706;;
364;434;0.2246505;0.4750395;0.2320468;0.4016712;428.9;0.2189455;False;11/23/2025 9:17:24 AM:729;1763860644729;;
363;432;0.2239668;0.472821;0.2104551;0.3699789;428.9;0.2190761;False;11/23/2025 9:17:24 AM:749;1763860644749;;
365;431;0.2251967;0.4724002;0.2728396;0.4620833;429.2;0.2300853;False;11/23/2025 9:17:24 AM:770;1763860644770;;
365;431;0.2253245;0.4716852;0.2566372;0.4359499;428.4;0.2329274;False;11/23/2025 9:17:24 AM:792;1763860644792;;
366;430;0.225428;0.4711168;0.2566444;0.4359601;427.7;0.2329453;False;11/23/2025 9:17:24 AM:812;1763860644812;;
