X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
585;365;0.3605702;0.3994936;0.3605702;0.3994936;535.3;0.1350895;True;11/21/2025 4:19:05 PM:402;1763713145402;;
441;379;0.2718573;0.4157007;0.1801827;0.4811894;536.2;0.1327766;True;11/21/2025 4:19:05 PM:576;1763713145576;;
444;407;0.2736481;0.4456743;0.3088551;0.6564348;536.9;0.1332304;True;11/21/2025 4:19:05 PM:597;1763713145597;;
446;426;0.2749836;0.4665947;0.3088596;0.6564354;537.6;0.1332305;True;11/21/2025 4:19:05 PM:614;1763713145614;;
425;433;0.2621092;0.4743086;0.1971688;0.5536858;538.9;0.1253679;True;11/21/2025 4:19:05 PM:668;1763713145668;;
414;434;0.2553418;0.475006;0.174878;0.5261621;540.1;0.1252051;True;11/21/2025 4:19:05 PM:686;1763713145686;;
408;434;0.2512723;0.4756701;0.1868006;0.5272154;541.5;0.1443131;True;11/21/2025 4:19:05 PM:704;1763713145704;;
405;437;0.2499903;0.4781247;0.2098359;0.5596974;542.9;0.1443934;True;11/21/2025 4:19:05 PM:721;1763713145721;;
408;456;0.2514004;0.4991485;0.2649603;0.605304;544.4;0.1423242;True;11/21/2025 4:19:05 PM:816;1763713145816;;
411;461;0.2533024;0.5050945;0.294279;0.6311397;545.9;0.1421525;True;11/21/2025 4:19:05 PM:833;1763713145833;;
412;468;0.254301;0.5123345;0.2834513;0.6441004;544.7;0.1409899;True;11/21/2025 4:19:05 PM:853;1763713145853;;
415;471;0.255661;0.5163811;0.2904058;0.6241376;540.2;0.1362502;True;11/21/2025 4:19:05 PM:872;1763713145872;;
416;474;0.2566742;0.5193955;0.2904312;0.6241462;536.2;0.1362711;True;11/21/2025 4:19:05 PM:889;1763713145889;;
762;445;0.4696814;0.4874711;0.6003537;0.4148852;533.8;0.1514111;True;11/21/2025 4:19:06 PM:31;1763713146031;;
775;445;0.4773947;0.487277;0.5404387;0.4744183;531.7;0.1517093;True;11/21/2025 4:19:06 PM:50;1763713146050;;
787;445;0.4849917;0.487288;0.512866;0.4878563;531.2;0.154417;True;11/21/2025 4:19:06 PM:132;1763713146132;;
777;450;0.4786209;0.4929561;0.3869986;0.5970016;530.6;0.154124;True;11/21/2025 4:19:06 PM:147;1763713146147;;
776;452;0.4778341;0.4951309;0.4355099;0.5616895;530.1;0.1542033;True;11/21/2025 4:19:06 PM:165;1763713146165;;
790;459;0.4867102;0.5024462;0.524076;0.5686648;528.3;0.1496851;True;11/21/2025 4:19:06 PM:240;1763713146240;;
786;461;0.4843706;0.5049834;0.4306644;0.5858274;526.7;0.1495901;True;11/21/2025 4:19:06 PM:258;1763713146258;;
785;463;0.4834976;0.5067952;0.4493293;0.574619;525.5;0.1589059;True;11/21/2025 4:19:06 PM:278;1763713146278;;
784;464;0.4828646;0.5081072;0.4493155;0.5746303;524.4;0.158899;True;11/21/2025 4:19:06 PM:294;1763713146294;;
808;463;0.498149;0.506846;0.6030633;0.4754557;523.6;0.1657926;True;11/21/2025 4:19:06 PM:313;1763713146313;;
819;455;0.5048715;0.4980942;0.5720596;0.3962837;522.1;0.1533026;True;11/21/2025 4:19:06 PM:333;1763713146333;;
828;448;0.5101224;0.4911858;0.572096;0.3962597;520.8;0.153326;True;11/21/2025 4:19:06 PM:351;1763713146351;;
828;452;0.5100991;0.4953016;0.5077028;0.5819864;519.2;0.1479417;True;11/21/2025 4:19:06 PM:371;1763713146371;;
828;453;0.5101551;0.4967074;0.5142038;0.55757;517.7;0.1479278;True;11/21/2025 4:19:06 PM:386;1763713146386;;
892;443;0.549822;0.4852539;0.6635935;0.4037594;519.2;0.1593063;True;11/21/2025 4:19:06 PM:430;1763713146430;;
891;443;0.5486495;0.4855979;0.5075397;0.5153976;520.6;0.1592229;True;11/21/2025 4:19:06 PM:447;1763713146447;;
841;452;0.5181136;0.4955063;0.3532132;0.6270313;520.6;0.1608326;True;11/21/2025 4:19:06 PM:465;1763713146465;;
806;459;0.4968661;0.5029708;0.3532299;0.6270081;520.6;0.1608153;True;11/21/2025 4:19:06 PM:480;1763713146480;;
809;462;0.4982553;0.5056418;0.5193282;0.5510923;521.3;0.1549502;True;11/21/2025 4:19:06 PM:561;1763713146561;;
810;461;0.4990737;0.5045949;0.5316824;0.472716;522.0;0.1551006;True;11/21/2025 4:19:06 PM:578;1763713146578;;
811;460;0.4998623;0.503594;0.531674;0.4727305;522.6;0.1551112;True;11/21/2025 4:19:06 PM:597;1763713146597;;
811;462;0.4999309;0.5056334;0.5077013;0.5532674;521.4;0.1623827;True;11/21/2025 4:19:06 PM:642;1763713146642;;
809;463;0.4981862;0.5071501;0.4606611;0.571811;520.2;0.1623101;True;11/21/2025 4:19:06 PM:658;1763713146658;;
927;445;0.5713935;0.4869519;0.7095162;0.3896903;519.7;0.1636273;True;11/21/2025 4:19:06 PM:713;1763713146713;;
978;431;0.6022337;0.4723971;0.6867983;0.3875522;517.6;0.1645902;True;11/21/2025 4:19:06 PM:774;1763713146774;;
979;430;0.6032264;0.4710126;0.6303915;0.4183948;515.7;0.164497;True;11/21/2025 4:19:06 PM:791;1763713146791;;
699;499;0.4304543;0.5468975;0.350723;0.6346939;516.3;0.1319265;True;11/21/2025 4:19:07 PM:759;1763713147759;;
695;501;0.4285081;0.5492278;0.3574889;0.6515182;516.8;0.1312639;True;11/21/2025 4:19:07 PM:776;1763713147776;;
572;504;0.3523788;0.5520814;0.2626842;0.5994419;519.9;0.1325595;True;11/21/2025 4:19:08 PM:131;1763713148131;;
571;508;0.3516905;0.5562066;0.3258477;0.6679561;522.7;0.1322098;True;11/21/2025 4:19:08 PM:149;1763713148149;;
513;507;0.3160008;0.5549963;0.2165828;0.5469101;521.8;0.1329695;True;11/21/2025 4:19:08 PM:259;1763713148259;;
505;507;0.3114383;0.5550965;0.2205871;0.5626653;520.9;0.132461;True;11/21/2025 4:19:08 PM:278;1763713148278;;
499;507;0.3077946;0.5551792;0.2206132;0.5626898;520.2;0.1324856;True;11/21/2025 4:19:08 PM:295;1763713148295;;
492;517;0.3031398;0.5666038;0.2717394;0.6177552;524.7;0.1496347;True;11/21/2025 4:19:11 PM:294;1763713151294;;
485;517;0.2989235;0.5666815;0.2181897;0.569703;528.8;0.1506826;True;11/21/2025 4:19:11 PM:311;1763713151311;;
485;520;0.2989114;0.5697442;0.2985933;0.6621447;531.0;0.1440176;True;11/21/2025 4:19:11 PM:332;1763713151332;;
485;522;0.2989034;0.5720505;0.2986278;0.6621745;532.9;0.1440384;True;11/21/2025 4:19:11 PM:349;1763713151349;;
481;522;0.2962556;0.5720888;0.2345783;0.5733315;532.1;0.1573175;True;11/21/2025 4:19:11 PM:368;1763713151368;;
512;523;0.3154899;0.5724437;0.4285828;0.6269674;532.2;0.1638989;True;11/21/2025 4:19:11 PM:387;1763713151387;;
535;523;0.3298017;0.5727407;0.4288912;0.626895;532.2;0.1640857;True;11/21/2025 4:19:11 PM:404;1763713151404;;
535;525;0.3297692;0.5744932;0.3000283;0.6544067;535.0;0.1517878;True;11/21/2025 4:19:11 PM:423;1763713151423;;
535;527;0.3295984;0.5768837;0.3218551;0.6693115;537.5;0.1517601;True;11/21/2025 4:19:11 PM:440;1763713151440;;
501;523;0.3086341;0.5722297;0.1655527;0.5077735;540.0;0.1392988;True;11/21/2025 4:19:11 PM:459;1763713151459;;
476;519;0.293136;0.5685866;0.1654976;0.5077123;542.4;0.1392542;True;11/21/2025 4:19:11 PM:475;1763713151475;;
498;520;0.3067069;0.5694063;0.4052881;0.6272612;545.9;0.1494161;True;11/21/2025 4:19:11 PM:494;1763713151494;;
515;521;0.3174262;0.5701256;0.4052474;0.6272788;549.1;0.1493625;True;11/21/2025 4:19:11 PM:513;1763713151513;;
502;520;0.3097002;0.5696266;0.2201717;0.5543399;553.5;0.1377341;True;11/21/2025 4:19:11 PM:531;1763713151531;;
493;521;0.3037904;0.5701634;0.2639159;0.5958245;558.0;0.1460069;True;11/21/2025 4:19:11 PM:697;1763713151697;;
492;521;0.3034445;0.5702816;0.2680033;0.6050113;562.0;0.1459084;True;11/21/2025 4:19:11 PM:715;1763713151715;;
459;506;0.2831698;0.5540525;0.1864657;0.4631462;561.0;0.1405998;True;11/21/2025 4:19:11 PM:762;1763713151762;;
451;504;0.2779773;0.5518646;0.1933781;0.4966458;560.0;0.1403312;True;11/21/2025 4:19:11 PM:779;1763713151779;;
438;501;0.2698016;0.5484326;0.1739259;0.4809797;563.1;0.129969;True;11/21/2025 4:19:11 PM:798;1763713151798;;
428;499;0.2641208;0.5459892;0.1739279;0.4809807;565.8;0.1299706;True;11/21/2025 4:19:11 PM:814;1763713151814;;
422;497;0.2602924;0.5438089;0.1875387;0.4855745;568.7;0.1247773;True;11/21/2025 4:19:11 PM:833;1763713151833;;
456;480;0.2811531;0.5258614;0.3290469;0.447756;572.1;0.1218706;True;11/21/2025 4:19:11 PM:954;1763713151954;;
456;480;0.2809885;0.5258471;0.2638933;0.499305;575.2;0.120982;True;11/21/2025 4:19:11 PM:972;1763713151972;;
528;480;0.3252151;0.5251788;0.4039892;0.4918873;585.1;0.1280918;True;11/21/2025 4:19:12 PM:87;1763713152087;;
546;477;0.3363428;0.5228591;0.4385089;0.4435948;594.0;0.128058;True;11/21/2025 4:19:12 PM:103;1763713152103;;
557;476;0.3431413;0.5217732;0.4237923;0.4598893;602.1;0.128059;True;11/21/2025 4:19:12 PM:120;1763713152120;;
740;424;0.4561615;0.4639555;0.5484338;0.3454948;641.2;0.2524066;False;11/21/2025 4:19:12 PM:351;1763713152351;;
804;419;0.4955853;0.4588712;0.6784647;0.3331096;676.4;0.2523437;False;11/21/2025 4:19:12 PM:369;1763713152369;;
865;402;0.5328939;0.4405035;0.691892;0.2485074;703.2;0.1928551;False;11/21/2025 4:19:12 PM:389;1763713152389;;
906;390;0.5579665;0.426888;0.6919179;0.2484882;727.4;0.1928568;False;11/21/2025 4:19:12 PM:406;1763713152406;;
902;389;0.5557174;0.4263813;0.4941877;0.4033109;726.5;0.1588528;True;11/21/2025 4:19:12 PM:425;1763713152425;;
943;377;0.5811522;0.413472;0.7129188;0.2411039;722.0;0.239214;False;11/21/2025 4:19:12 PM:444;1763713152444;;
995;369;0.6132799;0.4040411;0.7613675;0.249201;718.1;0.239308;False;11/21/2025 4:19:12 PM:460;1763713152460;;
997;368;0.6140068;0.4032531;0.6250072;0.3298628;721.0;0.2316316;False;11/21/2025 4:19:12 PM:479;1763713152479;;
998;367;0.6146171;0.4025727;0.6253338;0.3296537;723.6;0.2321165;False;11/21/2025 4:19:12 PM:498;1763713152498;;
998;367;0.6151305;0.4019577;0.6248807;0.3299439;726.0;0.2314454;False;11/21/2025 4:19:12 PM:517;1763713152517;;
1005;369;0.6193249;0.4043057;0.665466;0.4423817;732.0;0.1967179;False;11/21/2025 4:19:12 PM:536;1763713152536;;
819;379;0.5047054;0.4147347;0.2192362;0.5183314;726.1;0.2149581;False;11/21/2025 4:19:12 PM:555;1763713152555;;
714;384;0.4398476;0.4207916;0.2350901;0.5022539;720.7;0.2154389;False;11/21/2025 4:19:12 PM:572;1763713152572;;
715;396;0.4405446;0.4340295;0.4505054;0.5644025;718.0;0.1551362;True;11/21/2025 4:19:12 PM:589;1763713152589;;
711;405;0.4383824;0.4433845;0.4148922;0.5575227;715.5;0.1563809;True;11/21/2025 4:19:12 PM:605;1763713152605;;
679;405;0.4181379;0.4435239;0.3182547;0.4500306;715.4;0.1969118;False;11/21/2025 4:19:12 PM:625;1763713152625;;
646;405;0.3982466;0.4436904;0.3183071;0.4500194;715.4;0.1969472;False;11/21/2025 4:19:12 PM:652;1763713152652;;
631;405;0.388999;0.4437456;0.3226918;0.447712;705.6;0.1847081;False;11/21/2025 4:19:12 PM:669;1763713152669;;
618;405;0.3806602;0.4438264;0.3185987;0.4495657;689.8;0.1315361;True;11/21/2025 4:19:12 PM:687;1763713152687;;
608;405;0.3746957;0.4438893;0.3188603;0.4495104;675.6;0.1316496;True;11/21/2025 4:19:12 PM:703;1763713152703;;
618;405;0.380784;0.4435728;0.4822279;0.4125687;662.3;0.1318274;True;11/21/2025 4:19:12 PM:721;1763713152721;;
626;405;0.3857661;0.4433019;0.4824631;0.4124747;650.3;0.132061;True;11/21/2025 4:19:12 PM:737;1763713152737;;
648;405;0.3995281;0.4431283;0.5305049;0.4164991;635.6;0.1368939;True;11/21/2025 4:19:12 PM:756;1763713152756;;
662;405;0.4081827;0.4435902;0.5210448;0.4646097;622.3;0.1371426;True;11/21/2025 4:19:12 PM:773;1763713152773;;
662;405;0.4082311;0.4435869;0.4511005;0.4294067;611.5;0.1088133;True;11/21/2025 4:19:12 PM:792;1763713152792;;
660;408;0.4069057;0.4464712;0.3878375;0.5072958;605.5;0.1223587;True;11/21/2025 4:19:12 PM:811;1763713152811;;
659;410;0.4059051;0.4486862;0.3878487;0.5072766;600.1;0.1223983;True;11/21/2025 4:19:12 PM:827;1763713152827;;
642;414;0.3956797;0.4540146;0.3148288;0.5459847;591.5;0.1310211;True;11/21/2025 4:19:12 PM:845;1763713152845;;
614;421;0.3784405;0.4612932;0.2670989;0.5735832;583.8;0.1311911;True;11/21/2025 4:19:12 PM:861;1763713152861;;
615;434;0.3791997;0.47575;0.4278027;0.6313679;575.0;0.1329942;True;11/21/2025 4:19:12 PM:879;1763713152879;;
611;450;0.3764929;0.492921;0.3404309;0.6601458;567.1;0.1331243;True;11/21/2025 4:19:12 PM:896;1763713152896;;
595;462;0.3666271;0.5057102;0.288802;0.6479204;565.1;0.1388893;True;11/21/2025 4:19:12 PM:915;1763713152915;;
584;470;0.3599423;0.5146251;0.2888941;0.6479928;563.3;0.1389766;True;11/21/2025 4:19:12 PM:931;1763713152931;;
575;477;0.3543026;0.5229467;0.2926726;0.6469609;561.6;0.1390739;True;11/21/2025 4:19:12 PM:947;1763713152947;;
