X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
848;463;0.5224156;0.5066666;0.5224156;0.5066666;394.1;0.2022402;False;11/23/2025 9:23:37 AM:54;1763861017054;;
845;479;0.520736;0.5242538;0.4837956;0.6787573;394.5;0.2268398;False;11/23/2025 9:23:37 AM:74;1763861017074;;
845;493;0.520649;0.5397452;0.510843;0.6830111;396.0;0.2030969;False;11/23/2025 9:23:37 AM:96;1763861017096;;
824;490;0.5075103;0.536755;0.4087225;0.4751298;396.0;0.2079216;False;11/23/2025 9:23:37 AM:119;1763861017119;;
798;489;0.4916912;0.535813;0.3798297;0.4980563;396.0;0.2078664;False;11/23/2025 9:23:37 AM:138;1763861017138;;
796;489;0.4901885;0.5358118;0.4544027;0.5329756;395.4;0.2129118;False;11/23/2025 9:23:37 AM:159;1763861017159;;
781;489;0.4813653;0.5358203;0.3995543;0.5379807;396.4;0.1958162;False;11/23/2025 9:23:37 AM:180;1763861017180;;
770;489;0.474717;0.5358273;0.3995559;0.5379794;397.3;0.1958186;False;11/23/2025 9:23:37 AM:201;1763861017201;;
772;490;0.4755729;0.5362142;0.4978227;0.5584702;398.5;0.2102107;False;11/23/2025 9:23:37 AM:223;1763861017223;;
773;490;0.4762976;0.5365485;0.4978332;0.5584952;399.6;0.2102078;False;11/23/2025 9:23:37 AM:245;1763861017245;;
770;491;0.4745033;0.5378271;0.4360334;0.5815749;401.1;0.2051607;False;11/23/2025 9:23:37 AM:267;1763861017267;;
768;490;0.4733008;0.5362942;0.4413939;0.4951939;401.4;0.2050848;False;11/23/2025 9:23:37 AM:291;1763861017291;;
763;490;0.4699205;0.5364936;0.4124852;0.5550878;401.7;0.2050865;False;11/23/2025 9:23:37 AM:310;1763861017310;;
775;495;0.4774345;0.5418301;0.5457743;0.6268176;402.0;0.2139255;False;11/23/2025 9:23:37 AM:333;1763861017333;;
779;504;0.4798448;0.5525148;0.520726;0.6785442;402.8;0.1998817;False;11/23/2025 9:23:37 AM:353;1763861017353;;
779;514;0.4798755;0.5634081;0.4835971;0.6944774;403.5;0.1999581;False;11/23/2025 9:23:37 AM:374;1763861017374;;
780;514;0.4803494;0.5634561;0.498449;0.5710778;402.8;0.2153445;False;11/23/2025 9:23:37 AM:396;1763861017396;;
786;537;0.4845666;0.5879047;0.5420628;0.775462;401.6;0.2132551;False;11/23/2025 9:23:37 AM:416;1763861017416;;
793;556;0.4883946;0.6090267;0.5420339;0.7754782;400.5;0.2132009;False;11/23/2025 9:23:37 AM:440;1763861017440;;
818;555;0.5037397;0.6073169;0.6056164;0.5673895;400.7;0.1949967;False;11/23/2025 9:23:37 AM:464;1763861017464;;
826;550;0.5087886;0.6025503;0.5722739;0.5268648;402.6;0.2180286;False;11/23/2025 9:23:37 AM:486;1763861017486;;
838;546;0.5165849;0.5983183;0.5969595;0.5227916;404.3;0.2182017;False;11/23/2025 9:23:37 AM:507;1763861017507;;
838;545;0.5161859;0.596469;0.5025538;0.5446328;403.4;0.2225253;False;11/23/2025 9:23:37 AM:530;1763861017530;;
865;566;0.5331988;0.620233;0.6402118;0.7817561;403.6;0.2158334;False;11/23/2025 9:23:37 AM:554;1763861017554;;
886;583;0.5458895;0.6381183;0.6402076;0.7817519;403.7;0.2158362;False;11/23/2025 9:23:37 AM:577;1763861017577;;
998;584;0.6145746;0.6397405;0.8143278;0.685;403.6;0.2266778;False;11/23/2025 9:23:37 AM:601;1763861017601;;
1068;570;0.6580068;0.6246343;0.8062189;0.4913288;403.2;0.226249;False;11/23/2025 9:23:37 AM:625;1763861017625;;
1118;555;0.6889253;0.608161;0.8067377;0.468986;402.5;0.2340282;False;11/23/2025 9:23:37 AM:650;1763861017650;;
1150;545;0.708474;0.5967031;0.8067425;0.4689956;401.8;0.2340373;False;11/23/2025 9:23:37 AM:671;1763861017671;;
1166;542;0.7185229;0.5938566;0.7838841;0.5263917;402.7;0.2406122;False;11/23/2025 9:23:37 AM:692;1763861017692;;
1179;540;0.7261099;0.5915169;0.783928;0.5264586;403.5;0.2406062;False;11/23/2025 9:23:37 AM:713;1763861017713;;
1185;542;0.7297879;0.593679;0.7655726;0.6384722;403.2;0.2332992;False;11/23/2025 9:23:37 AM:737;1763861017737;;
1175;539;0.7239543;0.5901765;0.6413372;0.5155349;402.4;0.2256979;False;11/23/2025 9:23:37 AM:759;1763861017759;;
1168;536;0.7193057;0.5873534;0.641224;0.5156738;401.6;0.2255857;False;11/23/2025 9:23:37 AM:781;1763861017781;;
1186;542;0.7303519;0.5931301;0.7965566;0.6638793;400.7;0.2343053;False;11/23/2025 9:23:37 AM:808;1763861017808;;
1192;568;0.7345828;0.6220171;0.7749624;0.7929077;400.8;0.2368732;False;11/23/2025 9:23:37 AM:833;1763861017833;;
1192;558;0.7344056;0.6110842;0.7063832;0.4864421;400.3;0.2299856;False;11/23/2025 9:23:37 AM:856;1763861017856;;
1189;549;0.7324178;0.6016814;0.6813568;0.4860057;399.8;0.2298436;False;11/23/2025 9:23:37 AM:880;1763861017880;;
1193;565;0.7347012;0.6190054;0.7634208;0.7491834;400.8;0.2366783;False;11/23/2025 9:23:37 AM:905;1763861017905;;
1220;559;0.751745;0.6120039;0.8483524;0.5109484;401.5;0.227062;False;11/23/2025 9:23:37 AM:928;1763861017928;;
1236;566;0.7615374;0.6201772;0.8311761;0.7082927;401.9;0.2204094;False;11/23/2025 9:23:37 AM:954;1763861017954;;
1250;572;0.7699364;0.6262769;0.8396853;0.7096053;402.3;0.2205244;False;11/23/2025 9:23:37 AM:977;1763861017977;;
1276;563;0.7858415;0.6162513;0.8849135;0.4997023;401.6;0.2258292;False;11/23/2025 9:23:37 AM:999;1763861017999;;
1298;576;0.7994481;0.6302589;0.8854019;0.7514419;400.6;0.246301;False;11/23/2025 9:23:38 AM:25;1763861018025;;
1317;576;0.8110666;0.6302546;0.8914996;0.6252007;402.0;0.2484775;False;11/23/2025 9:23:38 AM:50;1763861018050;;
1331;576;0.8200415;0.6302509;0.8914887;0.6252232;403.3;0.2484526;False;11/23/2025 9:23:38 AM:76;1763861018076;;
1337;579;0.823814;0.6336102;0.8707215;0.694028;404.1;0.2452895;False;11/23/2025 9:23:38 AM:103;1763861018103;;
1341;582;0.8258597;0.6369753;0.8638876;0.7036275;405.0;0.2419424;False;11/23/2025 9:23:38 AM:125;1763861018125;;
1344;583;0.8280891;0.6379968;0.8719374;0.6806718;405.8;0.2416894;False;11/23/2025 9:23:38 AM:147;1763861018147;;
1346;585;0.8291116;0.6405846;0.8599715;0.7055353;403.8;0.2419996;False;11/23/2025 9:23:38 AM:167;1763861018167;;
1373;586;0.8455724;0.6412479;0.9584112;0.6803373;401.6;0.2523896;False;11/23/2025 9:23:38 AM:189;1763861018189;;
1395;586;0.8590151;0.6413409;0.9629197;0.6643018;399.5;0.252253;False;11/23/2025 9:23:38 AM:210;1763861018210;;
1397;585;0.8605545;0.640881;0.8969752;0.6229151;398.6;0.2250787;False;11/23/2025 9:23:38 AM:231;1763861018231;;
1399;585;0.8614533;0.6408076;0.8916633;0.6353263;397.4;0.2523547;False;11/23/2025 9:23:38 AM:254;1763861018254;;
1400;585;0.8622541;0.6407422;0.8916423;0.6353993;396.3;0.2523012;False;11/23/2025 9:23:38 AM:276;1763861018276;;
1404;557;0.8648704;0.610215;0.9148718;0.4209706;396.4;0.2426992;False;11/23/2025 9:23:38 AM:299;1763861018299;;
1407;536;0.8663878;0.5871993;0.9068327;0.4269442;395.4;0.2471621;False;11/23/2025 9:23:38 AM:322;1763861018322;;
1408;521;0.8676073;0.5701643;0.9068372;0.4269323;394.6;0.2471663;False;11/23/2025 9:23:38 AM:344;1763861018344;;
1406;517;0.8658856;0.5662088;0.8376407;0.4972703;395.4;0.2602004;False;11/23/2025 9:23:38 AM:366;1763861018366;;
1406;496;0.8659303;0.5435964;0.8811689;0.3767101;394.6;0.2786085;False;11/23/2025 9:23:38 AM:390;1763861018390;;
1406;483;0.865985;0.5286706;0.8719828;0.3892946;393.8;0.2615246;False;11/23/2025 9:23:38 AM:411;1763861018411;;
1406;470;0.866039;0.5152815;0.8719692;0.3893118;393.1;0.2614956;False;11/23/2025 9:23:38 AM:436;1763861018436;;
