X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
679;244;0.3540302;0.2261782;0.3540302;0.2261782;326.8;0.1776907;False;11/21/2025 3:38:49 PM:834;1763710729834;;
429;350;0.2239372;0.3242024;0.1132145;0.4703926;327.3;0.15624;False;11/21/2025 3:38:49 PM:939;1763710729939;;
257;383;0.1341787;0.3547005;0.03645668;0.4547191;327.8;0.1525251;False;11/21/2025 3:38:50 PM:23;1763710730023;;
245;343;0.1276058;0.3178925;0.1053921;0.2122619;328.9;0.1575236;False;11/21/2025 3:38:50 PM:99;1763710730099;;
233;263;0.121362;0.2437926;0.09384973;0.08730154;329.0;0.1635921;False;11/21/2025 3:38:50 PM:169;1763710730169;;
232;248;0.1211911;0.2303108;0.1173312;0.1349042;329.8;0.1571738;False;11/21/2025 3:38:50 PM:204;1763710730204;;
219;271;0.1141796;0.251368;0.06226765;0.3808552;328.9;0.1519015;False;11/21/2025 3:38:50 PM:234;1763710730234;;
219;271;0.1140857;0.2511447;0.1100088;0.236873;327.6;0.1471909;False;11/21/2025 3:38:50 PM:262;1763710730262;;
211;359;0.1099171;0.3331242;0.06594189;0.5844404;327.1;0.1485309;False;11/21/2025 3:38:50 PM:288;1763710730288;;
201;382;0.1048877;0.3538796;0.05595267;0.4713736;325.6;0.1410775;False;11/21/2025 3:38:50 PM:316;1763710730316;;
194;397;0.1013281;0.3678555;0.05597521;0.4713998;324.2;0.1411574;False;11/21/2025 3:38:50 PM:342;1763710730342;;
187;404;0.09759373;0.3748752;0.05389241;0.4407864;323.5;0.1472522;False;11/21/2025 3:38:50 PM:372;1763710730372;;
179;415;0.09354827;0.3848241;0.04630046;0.4686602;322.7;0.1453709;False;11/21/2025 3:38:50 PM:403;1763710730403;;
185;357;0.09645803;0.3308336;0.1290777;0.1312262;322.6;0.1421438;False;11/21/2025 3:38:50 PM:433;1763710730433;;
189;337;0.09873442;0.3123183;0.1312083;0.1865244;323.7;0.1410963;False;11/21/2025 3:38:50 PM:460;1763710730460;;
182;347;0.09479625;0.3214003;0.04773993;0.4156228;325.0;0.1508768;False;11/21/2025 3:38:50 PM:485;1763710730485;;
176;354;0.09172577;0.3284136;0.04774372;0.4156284;326.1;0.1508796;False;11/21/2025 3:38:50 PM:511;1763710730511;;
172;356;0.08965075;0.3297063;0.05249898;0.3719037;328.0;0.1422214;False;11/21/2025 3:38:50 PM:538;1763710730538;;
172;326;0.0899175;0.3026413;0.09835568;0.152918;328.2;0.148037;False;11/21/2025 3:38:50 PM:564;1763710730564;;
175;279;0.09128086;0.2591804;0.1145866;0.07953425;329.0;0.145783;False;11/21/2025 3:38:50 PM:591;1763710730591;;
175;268;0.09128364;0.2489203;0.09164069;0.158436;328.4;0.146544;False;11/21/2025 3:38:50 PM:615;1763710730615;;
175;260;0.09128609;0.2409454;0.09165531;0.1584348;327.9;0.1465529;False;11/21/2025 3:38:50 PM:640;1763710730640;;
162;273;0.08439871;0.2528054;0.02263335;0.3639056;327.6;0.146808;False;11/21/2025 3:38:50 PM:666;1763710730666;;
152;298;0.07916959;0.2764174;0.02195268;0.4340941;328.8;0.1443646;False;11/21/2025 3:38:50 PM:691;1763710730691;;
151;286;0.07901616;0.2651102;0.06478386;0.1660662;329.0;0.132311;True;11/21/2025 3:38:50 PM:716;1763710730716;;
151;277;0.07888976;0.2565505;0.06477968;0.1660705;329.2;0.1322979;True;11/21/2025 3:38:50 PM:740;1763710730740;;
149;295;0.07803287;0.2739341;0.04961359;0.4106042;330.3;0.140584;False;11/21/2025 3:38:50 PM:762;1763710730762;;
148;298;0.07729359;0.2761806;0.05083318;0.3256547;331.6;0.1460924;False;11/21/2025 3:38:50 PM:788;1763710730788;;
148;316;0.07726192;0.2929697;0.07542443;0.4246104;331.9;0.1339007;True;11/21/2025 3:38:50 PM:813;1763710730813;;
148;287;0.07723649;0.2662261;0.06507412;0.1101611;332.8;0.1563436;False;11/21/2025 3:38:50 PM:836;1763710730836;;
148;276;0.07709418;0.2557777;0.06067508;0.1573784;333.6;0.1565582;False;11/21/2025 3:38:50 PM:861;1763710730861;;
141;284;0.07383437;0.2637496;0.02431345;0.3574276;334.4;0.1509442;False;11/21/2025 3:38:50 PM:885;1763710730885;;
141;315;0.07375924;0.2925037;0.06832233;0.4605641;334.0;0.1429329;False;11/21/2025 3:38:50 PM:909;1763710730909;;
141;337;0.07370164;0.3125287;0.06873526;0.4603055;333.6;0.1431615;False;11/21/2025 3:38:50 PM:932;1763710730932;;
141;402;0.0736587;0.3730694;0.07078511;0.5998901;332.9;0.1472687;False;11/21/2025 3:38:50 PM:958;1763710730958;;
146;444;0.07624044;0.4119876;0.1102656;0.5946078;332.9;0.151548;False;11/21/2025 3:38:50 PM:983;1763710730983;;
149;470;0.07789785;0.4354181;0.1070355;0.5805251;332.9;0.1518681;False;11/21/2025 3:38:51 PM:6;1763710731006;;
151;469;0.07869899;0.4347825;0.09816249;0.3974966;332.2;0.1510252;False;11/21/2025 3:38:51 PM:32;1763710731032;;
151;490;0.07893907;0.454002;0.08990396;0.5733632;332.7;0.150443;False;11/21/2025 3:38:51 PM:60;1763710731060;;
151;506;0.07911725;0.4688643;0.08967768;0.5804437;333.1;0.1576971;False;11/21/2025 3:38:51 PM:84;1763710731084;;
152;517;0.07926241;0.4795901;0.08982889;0.5803505;333.4;0.1578503;False;11/21/2025 3:38:51 PM:107;1763710731107;;
149;519;0.07792338;0.4811417;0.05156831;0.5172217;333.8;0.1457627;False;11/21/2025 3:38:51 PM:133;1763710731133;;
150;533;0.07858825;0.4940491;0.09916709;0.6095697;333.6;0.1366608;False;11/21/2025 3:38:51 PM:156;1763710731156;;
164;542;0.08568276;0.5019645;0.1493118;0.5913716;333.7;0.142496;False;11/21/2025 3:38:51 PM:180;1763710731180;;
174;548;0.09091555;0.5079182;0.1492496;0.5913938;333.8;0.1424433;False;11/21/2025 3:38:51 PM:203;1763710731203;;
181;547;0.09435362;0.5064874;0.141117;0.4727225;334.5;0.1431303;False;11/21/2025 3:38:51 PM:228;1763710731228;;
196;547;0.1022117;0.506545;0.1739187;0.5174245;335.8;0.1508921;False;11/21/2025 3:38:51 PM:252;1763710731252;;
211;551;0.1101659;0.510341;0.183063;0.5774411;337.1;0.1452759;False;11/21/2025 3:38:51 PM:276;1763710731276;;
223;554;0.1162338;0.5133496;0.1831615;0.5774423;338.3;0.1453662;False;11/21/2025 3:38:51 PM:297;1763710731297;;
223;558;0.116294;0.5172023;0.1238912;0.5883101;337.7;0.1576599;False;11/21/2025 3:38:51 PM:321;1763710731321;;
299;568;0.1562157;0.5261995;0.3039396;0.6328656;338.4;0.1252715;True;11/21/2025 3:38:51 PM:345;1763710731345;;
363;572;0.1893872;0.5297771;0.3150262;0.6023281;339.0;0.1254279;True;11/21/2025 3:38:51 PM:369;1763710731369;;
465;574;0.2423631;0.5323327;0.3943287;0.5985938;339.8;0.1216773;True;11/21/2025 3:38:51 PM:393;1763710731393;;
602;575;0.313914;0.5324525;0.4812345;0.5546418;339.1;0.1250757;True;11/21/2025 3:38:51 PM:416;1763710731416;;
669;575;0.3486163;0.5324884;0.4518384;0.5585905;338.5;0.124926;True;11/21/2025 3:38:51 PM:439;1763710731439;;
730;574;0.3804414;0.5316233;0.4730175;0.5121281;337.8;0.1277168;True;11/21/2025 3:38:51 PM:465;1763710731465;;
725;575;0.3776254;0.5328647;0.3387693;0.5816787;339.6;0.1267346;True;11/21/2025 3:38:51 PM:489;1763710731489;;
741;552;0.3861263;0.511268;0.4275747;0.3773851;339.2;0.1390012;False;11/21/2025 3:38:51 PM:513;1763710731513;;
